Position,Freq (MHz),Level (dBµV/m),Limit Cl.A,Margin (dB),Status
Only cabinets,889.5703125,47.81642509439325,47.0,-0.816425094393253,FAIL
Only cabinets,856.7578125,43.623425094393255,47.0,3.376574905606745,PASS
Only cabinets,861.0546875,43.26342509439324,47.0,3.7365749056067585,PASS
Only cabinets,852.94921875,42.91342509439325,47.0,4.086574905606753,PASS
Only cabinets,162.51953125,32.17742509439324,40.0,7.822574905606757,PASS
Only cabinets,35.810546875,29.75542509439325,40.0,10.24457490560675,PASS
Only cabinets,137.51953125,28.27342509439325,40.0,11.72657490560675,PASS
With both stands,852.75390625,42.65042509439324,47.0,4.349574905606758,PASS
With both stands,861.25,40.883425094393246,47.0,6.116574905606754,PASS
With both stands,856.3671875,39.63442509439325,47.0,7.365574905606749,PASS
With both stands,858.7109375,38.91542509439324,47.0,8.084574905606758,PASS
With both stands,162.51953125,33.54142509439325,40.0,6.458574905606753,PASS
With both stands,500.01953125,31.516425094393245,47.0,15.483574905606755,PASS
With both stands,35.810546875,30.62142509439325,40.0,9.378574905606751,PASS
With LARC only,852.802734375,40.478425094393245,47.0,6.521574905606755,PASS
With LARC only,861.25,38.63142509439325,47.0,8.36857490560675,PASS
With LARC only,889.66796875,36.77442509439325,47.0,10.225574905606749,PASS
With LARC only,898.5546875,34.57142509439325,47.0,12.428574905606752,PASS
With LARC only,892.109375,34.32542509439325,47.0,12.674574905606747,PASS
With LARC only,857.001953125,34.109425094393245,47.0,12.890574905606755,PASS
With LARC only,162.51953125,33.01542509439325,40.0,6.984574905606749,PASS
With LARC only,500.01953125,31.302425094393246,47.0,15.697574905606754,PASS
With LARC only,33.41796875,30.44442509439325,40.0,9.55557490560675,PASS
With LARC only,137.51953125,28.519425094393245,40.0,11.480574905606755,PASS
With CLEA only,860.17578125,37.92442509439324,47.0,9.075574905606757,PASS
With CLEA only,857.34375,37.74442509439325,47.0,9.25557490560675,PASS
With CLEA only,162.51953125,32.17842509439325,40.0,7.821574905606752,PASS
With CLEA only,63.935546875,30.710425094393248,40.0,9.289574905606752,PASS
